# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  145       5.677415845000e-10       1.504415424015e-13      -6.135479633467e-12       8.668500785719e-16       3.586043136600e-12       5.953296101679e-13      -4.238372760347e-15 
  146       5.722689571243e-10       1.500951781339e-13      -6.155680015621e-12       8.797953875733e-16       3.516448066096e-12       5.870581814817e-13      -4.179493903689e-15 
  147       5.767772916380e-10       1.496858375876e-13      -6.172867938367e-12       8.928648059665e-16       3.448691559599e-12       5.789491988171e-13      -4.120583551909e-15 
  148       5.812651570301e-10       1.492143503367e-13      -6.186994425318e-12       9.060590120131e-16       3.382700344793e-12       5.709924614196e-13      -4.061514710890e-15 
  149       5.857310653499e-10       1.486816453407e-13      -6.198011849433e-12       9.193786806669e-16       3.318391108693e-12       5.631765432427e-13      -4.002150690293e-15 
  150       5.901734705868e-10       1.480887527114e-13      -6.205873972568e-12       9.328244833780e-16       3.255670285111e-12       5.554887672268e-13      -3.942344915123e-15 
  151       5.945907675493e-10       1.474368054815e-13      -6.210535985020e-12       9.463970878973e-16       3.194433842120e-12       5.479151795789e-13      -3.881940737279e-15 
  152       5.989812907455e-10       1.467270413724e-13      -6.211954545081e-12       9.600971580814e-16       3.134567069518e-12       5.404405240518e-13      -3.820771247118e-15 
  153       6.033434358423e-10       1.459607882709e-13      -6.210088044928e-12       9.739252986535e-16       3.075968297513e-12       5.330518359043e-13      -3.758704607943e-15 
  154       6.076760391068e-10       1.451394154202e-13      -6.204897352895e-12       9.878818841221e-16       3.018622980449e-12       5.257496537526e-13      -3.695785196932e-15 
  155       6.119780312573e-10       1.442643810426e-13      -6.196345215913e-12       1.001967213516e-15       2.962536125033e-12       5.185378055276e-13      -3.632105283217e-15 
  156       6.162483175602e-10       1.433372498936e-13      -6.184396079720e-12       1.016181563525e-15       2.907708888028e-12       5.114198752181e-13      -3.567760726907e-15 
  157       6.204857773342e-10       1.423596949470e-13      -6.169016129564e-12       1.030525188029e-15       2.854138485597e-12       5.043991955851e-13      -3.502851022488e-15 
  158       6.246892634536e-10       1.413334990797e-13      -6.150173330905e-12       1.044998317616e-15       2.801818102649e-12       4.974788408757e-13      -3.437479342227e-15 
  159       6.288576018529e-10       1.402605567568e-13      -6.127837470110e-12       1.059601159109e-15       2.750736802185e-12       4.906616195378e-13      -3.371752579577e-15 
  160       6.329895910299e-10       1.391428757165e-13      -6.101980195160e-12       1.074333895092e-15       2.700879434643e-12       4.839500669336e-13      -3.305781392578e-15 
  161       6.370840015503e-10       1.379825786551e-13      -6.072575056348e-12       1.089196683432e-15       2.652226547246e-12       4.773464380544e-13      -3.239680247263e-15 
